text,class,processed_tokens
Host-based IDPS for linux systems.,ham,"['host-ba', 'idp', 'linux', 'system']"
"HOT LIVE FANTASIES call now 08707509020 Just 20p per min NTT Ltd, PO Box 1327 Croydon CR9 5WB 0870 is a national rate call",spam,"['hot', 'live', 'fantasi', 'call', '20p', 'per', 'min', 'ntt', 'ltd', 'po', 'box', 'croydon', 'cr9', '5wb', 'nation', 'rate', 'call']"
Don no da:)whats you plan?,ham,"['da', 'plan']"
Ill be there on  &lt;#&gt;  ok.,ham,"['ill', 'lt', 'gt', 'ok']"
Oh my God. I'm almost home,ham,"['oh', 'god', ""'m"", 'almost', 'home']"
Total video converter free download type this in google search:),ham,"['total', 'video', 'convert', 'free', 'download', 'type', 'googl', 'search']"
Thanks for the Vote. Now sing along with the stars with Karaoke on your mobile. For a FREE link just reply with SING now.,spam,"['thank', 'vote', 'sing', 'along', 'star', 'karaok', 'mobil', 'free', 'link', 'repli', 'sing']"
"Wen ur lovable bcums angry wid u, dnt take it seriously.. Coz being angry is d most childish n true way of showing deep affection, care n luv!.. kettoda manda... Have nice day da.",ham,"['wen', 'ur', 'lovabl', 'bcum', 'angri', 'wid', 'u', 'dnt', 'take', 'seriou', '..', 'coz', 'angri', 'childish', 'n', 'true', 'way', 'show', 'deep', 'affect', 'care', 'n', 'luv', '..', 'kettoda', 'manda', '...', 'nice', 'day', 'da']"
Sounds like something that someone testing me would sayy,ham,"['sound', 'like', 'someth', 'someon', 'test', 'would', 'sayi']"
When u love someone Dont make them to love u as much as u do. But Love them so much that they dont want to be loved by anyone except you... Gud nit.,ham,"['u', 'love', 'someon', 'dont', 'make', 'love', 'u', 'much', 'u', 'love', 'much', 'dont', 'want', 'love', 'anyon', 'except', '...', 'gud', 'nit']"
"Pete,is this your phone still? Its Jenny from college and Leanne.what are you up to now?:)",ham,"['pete', 'phone', 'still', 'jenni', 'colleg', 'leanne.what']"
Oops sorry. Just to check that you don't mind picking me up tomo at half eight from station. Would that be ok?,ham,"['oop', 'sorri', 'check', ""n't"", 'mind', 'pick', 'tomo', 'half', 'eight', 'station', 'would', 'ok']"
"Hey sweet, I was wondering when you had a moment if you might come to me ? I want to send a file to someone but it won't go over yahoo for them because their connection sucks, remember when you set up that page for me to go to and download the format disc ? Could you tell me how to do that ? Or do you know some other way to download big files ? Because they can download stuff directly from the internet. Any help would be great, my prey ... *teasing kiss*",ham,"['hey', 'sweet', 'wonder', 'moment', 'might', 'come', 'want', 'send', 'file', 'someon', 'wo', ""n't"", 'go', 'yahoo', 'connect', 'suck', 'rememb', 'set', 'page', 'go', 'download', 'format', 'disc', 'could', 'tell', 'know', 'way', 'download', 'big', 'file', 'download', 'stuff', 'directli', 'internet', 'help', 'would', 'great', 'prey', '...', 'tea', 'kiss']"
Hows the champ just leaving glasgow!,ham,"['champ', 'leav', 'glasgow']"
K:)all the best:)congrats...,ham,"['k', 'best', 'congrat', '...']"
I wonder if you'll get this text?,ham,"['wonder', ""'ll"", 'get', 'text']"
I need to come home and give you some good lovin...,ham,"['need', 'come', 'home', 'give', 'good', 'lovin', '...']"
Our brand new mobile music service is now live. The free music player will arrive shortly. Just install on your phone to browse content from the top artists.,spam,"['brand', 'new', 'mobil', 'music', 'servic', 'live', 'free', 'music', 'player', 'arriv', 'shortli', 'instal', 'phone', 'brow', 'content', 'top', 'artist']"
Shall i ask one thing if you dont mistake me.,ham,"['shall', 'ask', 'one', 'thing', 'dont', 'mistak']"
Check wid corect speling i.e. Sarcasm,ham,"['check', 'wid', 'corect', 'spele', 'i.e', 'sarcasm']"
"URGENT! Your Mobile No was awarded a å£2,000 Bonus Caller Prize on 1/08/03! This is our 2nd attempt to contact YOU! Call 0871-4719-523 BOX95QU BT National Rate",spam,"['urgent', 'mobil', 'award', 'å£2,000', 'bonu', 'caller', 'prize', '1/08/03', '2nd', 'attempt', 'contact', 'call', '0871-4719-523', 'box95qu', 'bt', 'nation', 'rate']"
Are you angry with me. What happen dear,ham,"['angri', 'happen', 'dear']"
I thk u dun haf 2 hint in e forum already lor... Cos i told ron n darren is going 2 tell shuhui.,ham,"['thk', 'u', 'dun', 'haf', 'hint', 'e', 'forum', 'alreadi', 'lor', '...', 'co', 'told', 'ron', 'n', 'darren', 'go', 'tell', 'shuhui']"
Yup ok thanx...,ham,"['yup', 'ok', 'thanx', '...']"
Hi:)cts employee how are you?,ham,"['hi', 'ct', 'employ']"
Pls pls find out from aunt nike.,ham,"['pl', 'pl', 'find', 'aunt', 'nike']"
"Wow ... I love you sooo much, you know ? I can barely stand it ! I wonder how your day goes and if you are well, my love ... I think of you and miss you",ham,"['wow', '...', 'love', 'sooo', 'much', 'know', 'bare', 'stand', 'wonder', 'day', 'goe', 'well', 'love', '...', 'think', 'miss']"
No screaming means shouting..,ham,"['scream', 'mean', 'shout', '..']"
Hey what happen de. Are you alright.,ham,"['hey', 'happen', 'de', 'alright']"
Should I have picked up a receipt or something earlier,ham,"['pick', 'receipt', 'someth', 'earlier']"
I think chennai well settled?,ham,"['think', 'chennai', 'well', 'settl']"
Oh dang! I didn't mean o send that to you! Lol!,ham,"['oh', 'dang', ""n't"", 'mean', 'send', 'lol']"
Unfortunately i've just found out that we have to pick my sister up from the airport that evening so don't think i'll be going out at all. We should try to go out one of th,ham,"['unfortun', ""'ve"", 'found', 'pick', 'sister', 'airport', 'even', ""n't"", 'think', ""'ll"", 'go', 'tri', 'go', 'one', 'th']"
Horrible bf... I now v hungry...,ham,"['horribl', 'bf', '...', 'v', 'hungri', '...']"
Remember on that day..,ham,"['rememb', 'day', '..']"
You have won a Nokia 7250i. This is what you get when you win our FREE auction. To take part send Nokia to 86021 now. HG/Suite342/2Lands Row/W1JHL 16+,spam,"['nokia', '7250i', 'get', 'win', 'free', 'auction', 'take', 'part', 'send', 'nokia', 'hg/suite342/2land', 'row/w1jhl', '16+']"
How's it feel? Mr. Your not my real Valentine just my yo Valentine even tho u hardly play!!,ham,"[""'s"", 'feel', 'mr', 'real', 'valentin', 'yo', 'valentin', 'even', 'tho', 'u', 'hardli', 'play']"
All sounds good. Fingers . Makes it difficult to type,ham,"['sound', 'good', 'finger', 'make', 'difficult', 'type']"
Midnight at the earliest,ham,"['midnight', 'earliest']"
You're not sure that I'm not trying to make xavier smoke because I don't want to smoke after being told I smoke too much?,ham,"[""'re"", 'sure', ""'m"", 'tri', 'make', 'xavier', 'smoke', ""n't"", 'want', 'smoke', 'told', 'smoke', 'much']"
K come to nordstrom when you're done,ham,"['k', 'come', 'nordstrom', ""'re"", 'done']"
Do u konw waht is rael FRIENDSHIP Im gving yuo an exmpel: Jsut ese tihs msg.. Evrey splleing of tihs msg is wrnog.. Bt sitll yuo can raed it wihtuot ayn mitsake.. GOODNIGHT &amp; HAVE A NICE SLEEP..SWEET DREAMS..,ham,"['u', 'konw', 'waht', 'rael', 'friendship', 'im', 'gving', 'yuo', 'exmpel', 'jsut', 'ese', 'tih', 'msg', '..', 'evrey', 'splle', 'tih', 'msg', 'wrnog', '..', 'bt', 'sitll', 'yuo', 'ra', 'wihtuot', 'ayn', 'mitsak', '..', 'goodnight', 'amp', 'nice', 'sleep', '..', 'sweet', 'dream', '..']"
Now press conference da:),ham,"['press', 'confer', 'da']"
"Hello from Orange. For 1 month's free access to games, news and sport, plus 10 free texts and 20 photo messages, reply YES. Terms apply: www.orange.co.uk/ow",spam,"['hello', 'orang', 'month', ""'s"", 'free', 'access', 'game', 'news', 'sport', 'plu', 'free', 'text', 'photo', 'messag', 'repli', 'ye', 'term', 'appli', 'www.orange.co.uk/ow']"
After completed degree. There is no use in joining finance.,ham,"['complet', 'degr', 'use', 'join', 'financ']"
"Good afternoon, my love ! Any job prospects ? Are you missing me ? What do you do ? Are you being lazy and bleak, hmmm ? Or happy and filled with my love ?",ham,"['good', 'afternoon', 'love', 'job', 'prospect', 'miss', 'lazi', 'bleak', 'hmmm', 'happi', 'fill', 'love']"
Shant disturb u anymore... Jia you...,ham,"['shant', 'disturb', 'u', 'anymor', '...', 'jia', '...']"
Bishan lar nearer... No need buy so early cos if buy now i gotta park my car...,ham,"['bishan', 'lar', 'nearer', '...', 'need', 'buy', 'earli', 'co', 'buy', 'got', 'ta', 'park', 'car', '...']"
"Me, i dont know again oh",ham,"['dont', 'know', 'oh']"
Dude sux for snake. He got old and raiden got buff,ham,"['dude', 'sux', 'snake', 'got', 'old', 'raiden', 'got', 'buff']"
He says hi and to get your ass back to south tampa (preferably at a kegger),ham,"['say', 'hi', 'get', 'as', 'back', 'south', 'tampa', 'prefer', 'kegger']"
In e msg jus now. U said thanks for gift.,ham,"['e', 'msg', 'ju', 'u', 'said', 'thank', 'gift']"
U too...,ham,"['u', '...']"
Ok how you dear. Did you call chechi,ham,"['ok', 'dear', 'call', 'chechi']"
Yeah we do totes. When u wanna?,ham,"['yeah', 'tote', 'u', 'wan', 'na']"
Ok i found dis pierre cardin one which looks normal costs 20 its on sale.,ham,"['ok', 'found', 'di', 'pierr', 'cardin', 'one', 'look', 'normal', 'cost', 'sale']"
Good sleep is about rhythm. The person has to establish a rhythm that the body will learn and use. If you want to know more :-),ham,"['good', 'sleep', 'rhythm', 'person', 'establish', 'rhythm', 'bodi', 'learn', 'use', 'want', 'know']"
Wat r u doing?,ham,"['wat', 'r', 'u']"
Message from . I am at Truro Hospital on ext. You can phone me here. as I have a phone by my side,ham,"['messag', 'truro', 'hospit', 'ext', 'phone', 'phone', 'side']"
"Single line with a big meaning::::: \Miss anything 4 ur \""Best Life\"" but",ham,"['singl', 'line', 'big', 'mean', '\\miss', 'anyth', 'ur', ""''"", 'best', 'life\\', ""''""]"
"Just got some gas money, any chance you and the gang want to go on a grand nature adventure?",ham,"['got', 'ga', 'money', 'chanc', 'gang', 'want', 'go', 'grand', 'natur', 'adventur']"
Dnt worry...use ice pieces in a cloth pack.also take 2 tablets.,ham,"['dnt', 'worri', '...', 'use', 'ice', 'piec', 'cloth', 'pack.also', 'take', 'tablet']"
Dude just saw a parked car with its sunroof popped up. Sux,ham,"['dude', 'saw', 'park', 'car', 'sunroof', 'pop', 'sux']"
Get ready to put on your excellent sub face :),ham,"['get', 'readi', 'put', 'excel', 'sub', 'face']"
Tmrw. Im finishing 9 doors,ham,"['tmrw', 'im', 'finish', 'door']"
"The  &lt;#&gt; g that i saw a few days ago, the guy wants sell wifi only for  &lt;#&gt;  and with 3g for  &lt;#&gt; . That's why i blanked him.",ham,"['lt', 'gt', 'g', 'saw', 'day', 'ago', 'guy', 'want', 'sell', 'wifi', 'lt', 'gt', '3g', 'lt', 'gt', ""'s"", 'blank']"
I am late. I will be there at,ham,['late']
"whatever, im pretty pissed off.",ham,"['whatev', 'im', 'pretti', 'piss']"
Today is ACCEPT DAY..U Accept me as? Brother Sister Lover Dear1 Best1 Clos1 Lvblefrnd Jstfrnd Cutefrnd Lifpartnr Belovd Swtheart Bstfrnd No rply means enemy,ham,"['today', 'accept', 'day', '..', 'u', 'accept', 'brother', 'sister', 'lover', 'dear1', 'best1', 'clos1', 'lvblefrnd', 'jstfrnd', 'cutefrnd', 'lifpartnr', 'belovd', 'swtheart', 'bstfrnd', 'rpli', 'mean', 'enemi']"
I dont have that much image in class.,ham,"['dont', 'much', 'imag', 'class']"
No:-)i got rumour that you going to buy apartment in chennai:-),ham,"['got', 'rumour', 'go', 'buy', 'apart', 'chennai']"
Near kalainar tv office.thenampet,ham,"['near', 'kalainar', 'tv', 'office.thenampet']"
Ur cash-balance is currently 500 pounds - to maximize ur cash-in now send GO to 86688 only 150p/msg. CC 08718720201 HG/Suite342/2Lands Row/W1J6HL,spam,"['ur', 'cash-bal', 'current', 'pound', 'maxim', 'ur', 'cash-in', 'send', 'go', '150p/msg', 'cc', 'hg/suite342/2land', 'row/w1j6hl']"
SMS AUCTION - A BRAND NEW Nokia 7250 is up 4 auction today! Auction is FREE 2 join & take part! Txt NOKIA to 86021 now! HG/Suite342/2Lands Row/W1J6HL,spam,"['sm', 'auction', 'brand', 'new', 'nokia', 'auction', 'today', 'auction', 'free', 'join', 'take', 'part', 'txt', 'nokia', 'hg/suite342/2land', 'row/w1j6hl']"
My sis is catching e show in e afternoon so i'm not watching w her. So c u wan 2 watch today or tmr lor.,ham,"['si', 'catch', 'e', 'show', 'e', 'afternoon', ""'m"", 'watch', 'w', 'c', 'u', 'wan', 'watch', 'today', 'tmr', 'lor']"
"Sounds gd... Haha... Can... Wah, u yan jiu so fast liao...",ham,"['sound', 'gd', '...', 'haha', '...', '...', 'wah', 'u', 'yan', 'jiu', 'fast', 'liao', '...']"
No. To be nosy I guess. Idk am I over reacting if I'm freaked?,ham,"['nosi', 'guess', 'idk', 'react', ""'m"", 'freak']"
"Remember all those whom i hurt during days of satanic imposter in me.need to pay a price,so be it.may destiny keep me going and as u said pray that i get the mind to get over the same.",ham,"['rememb', 'hurt', 'day', 'satan', 'impost', 'me.n', 'pay', 'price', 'it.may', 'destini', 'keep', 'go', 'u', 'said', 'pray', 'get', 'mind', 'get']"
How to Make a girl Happy? It's not at all difficult to make girls happy. U only need to be... 1. A friend 2. Companion 3. Lover 4. Chef . . .  &lt;#&gt; . Good listener  &lt;#&gt; . Organizer  &lt;#&gt; . Good boyfriend  &lt;#&gt; . Very clean  &lt;#&gt; . Sympathetic  &lt;#&gt; . Athletic  &lt;#&gt; . Warm . . .  &lt;#&gt; . Courageous  &lt;#&gt; . Determined  &lt;#&gt; . True  &lt;#&gt; . Dependable  &lt;#&gt; . Intelligent . . .  &lt;#&gt; . Psychologist  &lt;#&gt; . Pest exterminator  &lt;#&gt; . Psychiatrist  &lt;#&gt; . Healer . .  &lt;#&gt; . Stylist  &lt;#&gt; . Driver . . Aaniye pudunga venaam..,ham,"['make', 'girl', 'happi', ""'s"", 'difficult', 'make', 'girl', 'happi', 'u', 'need', '...', 'friend', 'companion', 'lover', 'chef', 'lt', 'gt', 'good', 'listen', 'lt', 'gt', 'organ', 'lt', 'gt', 'good', 'boyfriend', 'lt', 'gt', 'clean', 'lt', 'gt', 'sympathet', 'lt', 'gt', 'athlet', 'lt', 'gt', 'warm', 'lt', 'gt', 'courag', 'lt', 'gt', 'determin', 'lt', 'gt', 'true', 'lt', 'gt', 'depend', 'lt', 'gt', 'intellig', 'lt', 'gt', 'psychologist', 'lt', 'gt', 'pest', 'extermin', 'lt', 'gt', 'psychiatrist', 'lt', 'gt', 'healer', 'lt', 'gt', 'stylist', 'lt', 'gt', 'driver', 'aaniy', 'pudunga', 'venaam', '..']"
"Why is that, princess? I bet the brothas are all chasing you!",ham,"['princess', 'bet', 'brotha', 'chase']"
"I shall book chez jules for half eight, if that's ok with you?",ham,"['shall', 'book', 'chez', 'jule', 'half', 'eight', ""'s"", 'ok']"
Hhahhaahahah rofl wtf nig was leonardo in your room or something,ham,"['hhahhaahahah', 'rofl', 'wtf', 'nig', 'leonardo', 'room', 'someth']"
"Yep, at derek's house now, see you Sunday &lt;3",ham,"['yep', 'derek', ""'s"", 'hou', 'see', 'sunday', 'lt']"
"It's cool, let me know before it kicks off around  &lt;#&gt; , I'll be out and about all day",ham,"[""'s"", 'cool', 'let', 'know', 'kick', 'around', 'lt', 'gt', ""'ll"", 'day']"
"Sorry, I'll call later",ham,"['sorri', ""'ll"", 'call', 'later']"
I was wondering if it would be okay for you to call uncle john and let him know that things are not the same in nigeria as they r here. That  &lt;#&gt;  dollars is 2years sent and that you know its a strain but i plan to pay back every dime he gives. Every dime so for me to expect anything from you is not practical. Something like that.,ham,"['wonder', 'would', 'okay', 'call', 'uncl', 'john', 'let', 'know', 'thing', 'nigeria', 'r', 'lt', 'gt', 'dollar', '2year', 'sent', 'know', 'strain', 'plan', 'pay', 'back', 'everi', 'dime', 'give', 'everi', 'dime', 'expect', 'anyth', 'practic', 'someth', 'like']"
There are no other charges after transfer charges and you can withdraw anyhow you like,ham,"['charg', 'transfer', 'charg', 'withdraw', 'anyhow', 'like']"
"Dont search love, let love find U. Thats why its called falling in love, bcoz U dont force yourself, U just fall and U know there is smeone to hold U... BSLVYL",ham,"['dont', 'search', 'love', 'let', 'love', 'find', 'u.', 'call', 'fall', 'love', 'bcoz', 'u', 'dont', 'forc', 'u', 'fall', 'u', 'know', 'smeon', 'hold', 'u', '...', 'bslvyl']"
At 4. Let's go to bill millers,ham,"['let', ""'s"", 'go', 'bill', 'miller']"
I love you. You set my soul on fire. It is not just a spark. But it is a flame. A big rawring flame. XoXo,ham,"['love', 'set', 'soul', 'fire', 'spark', 'flame', 'big', 'rawr', 'flame', 'xoxo']"
"Somewhr someone is surely made 4 u. And God has decided a perfect time to make u meet dat person. . . . till den, . . . . . Enjoy ur crushes..!!!;-)",ham,"['somewhr', 'someon', 'sure', 'made', 'u', 'god', 'decid', 'perfect', 'time', 'make', 'u', 'meet', 'dat', 'person.', 'till', 'den', 'enjoy', 'ur', 'crush', '..']"
That's my honeymoon outfit. :),ham,"[""'s"", 'honeymoon', 'outfit']"
Will it help if we propose going back again tomorrow,ham,"['help', 'propo', 'go', 'back', 'tomorrow']"
PRIVATE! Your 2003 Account Statement for shows 800 un-redeemed S. I. M. points. Call 08719899230 Identifier Code: 41685 Expires 07/11/04,spam,"['privat', 'account', 'statement', 'show', 'un-redeem', 's.', 'i.', 'm.', 'point', 'call', 'identifi', 'code', 'expir', '07/11/04']"
Never blame a day in ur life. Good days give u happiness. Bad days give u experience. Both are essential in life! All are Gods blessings! good morning.:,ham,"['never', 'blame', 'day', 'ur', 'life', 'good', 'day', 'give', 'u', 'happi', 'bad', 'day', 'give', 'u', 'experi', 'essenti', 'life', 'god', 'bless', 'good', 'morn']"
Pls confirm the time to collect the cheque.,ham,"['pl', 'confirm', 'time', 'collect', 'chequ']"
As a Registered Subscriber yr draw 4 a å£100 gift voucher will b entered on receipt of a correct ans. When are the next olympics. Txt ans to 80062,spam,"['regist', 'subscrib', 'yr', 'draw', 'å£100', 'gift', 'voucher', 'b', 'enter', 'receipt', 'correct', 'next', 'olymp', 'txt']"
URGENT! Your Mobile number has been awarded with a å£2000 prize GUARANTEED. Call 09061790121 from land line. Claim 3030. Valid 12hrs only 150ppm,spam,"['urgent', 'mobil', 'number', 'award', 'å£2000', 'prize', 'guarant', 'call', 'land', 'line', 'claim', 'valid', '12hr', '150ppm']"
Daddy will take good care of you :),ham,"['daddi', 'take', 'good', 'care']"
"Yeah probably, I still gotta check out with leo",ham,"['yeah', 'probabl', 'still', 'got', 'ta', 'check', 'leo']"
K.then any other special?,ham,"['k.then', 'special']"
Carlos is taking his sweet time as usual so let me know when you and patty are done/want to smoke and I'll tell him to haul ass,ham,"['carlo', 'take', 'sweet', 'time', 'usual', 'let', 'know', 'patti', 'done/w', 'smoke', ""'ll"", 'tell', 'haul', 'as']"
Ok pa. Nothing problem:-),ham,"['ok', 'pa', 'noth', 'problem']"
Have you heard about that job? I'm going to that wildlife talk again tonight if u want2come. Its that2worzels and a wizzle or whatever it is?! ,ham,"['heard', 'job', ""'m"", 'go', 'wildlif', 'talk', 'tonight', 'u', 'want2com', 'that2worzel', 'wizzl', 'whatev']"
"God picked up a flower and dippeditinaDEW, lovingly touched itwhichturnedinto u, and the he gifted tomeandsaid,THIS FRIEND IS 4U",ham,"['god', 'pick', 'flower', 'dippeditinadew', 'lovingli', 'touch', 'itwhichturnedinto', 'u', 'gift', 'tomeandsaid', 'friend', '4u']"
When you came to hostel.,ham,"['came', 'hostel']"
Ok no prob... I'll come after lunch then...,ham,"['ok', 'prob', '...', ""'ll"", 'come', 'lunch', '...']"
Jus telling u dat i'll b leaving 4 shanghai on 21st instead so we'll haf more time 2 meet up cya...,ham,"['ju', 'tell', 'u', 'dat', ""'ll"", 'b', 'leav', 'shanghai', '21st', 'instead', ""'ll"", 'haf', 'time', 'meet', 'cya', '...']"
Are your freezing ? Are you home yet ? Will you remember to kiss your mom in the morning? Do you love me ? Do you think of me ? Are you missing me yet ?,ham,"['freez', 'home', 'yet', 'rememb', 'kiss', 'mom', 'morn', 'love', 'think', 'miss', 'yet']"
You all ready for * big day tomorrow?,ham,"['readi', 'big', 'day', 'tomorrow']"
I'll probably be around mu a lot,ham,"[""'ll"", 'probabl', 'around', 'mu', 'lot']"
645,ham,[]
RT-KIng Pro Video Club>> Need help? info@ringtoneking.co.uk or call 08701237397 You must be 16+ Club credits redeemable at www.ringtoneking.co.uk! Enjoy!,spam,"['rt-king', 'pro', 'video', 'club', 'need', 'help', 'info', 'ringtoneking.co.uk', 'call', 'must', '16+', 'club', 'credit', 'redeem', 'www.ringtoneking.co.uk', 'enjoy']"
Thnx dude. u guys out 2nite?,ham,"['thnx', 'dude', 'u', 'guy', '2nite']"
Me sef dey laugh you. Meanwhile how's my darling anjie!,ham,"['sef', 'dey', 'laugh', 'meanwhil', ""'s"", 'darl', 'anji']"
Mm i had my food da from out,ham,"['mm', 'food', 'da']"
"K, makes sense, btw carlos is being difficult so you guys are gonna smoke while I go pick up the second batch and get gas",ham,"['k', 'make', 'sen', 'btw', 'carlo', 'difficult', 'guy', 'gon', 'na', 'smoke', 'go', 'pick', 'second', 'batch', 'get', 'ga']"
Did u download the fring app?,ham,"['u', 'download', 'fring', 'app']"
The 2 oz guy is being kinda flaky but one friend is interested in picking up $ &lt;#&gt;  worth tonight if possible,ham,"['oz', 'guy', 'kinda', 'flaki', 'one', 'friend', 'interest', 'pick', 'lt', 'gt', 'worth', 'tonight', 'possibl']"
Friends that u can stay on fb chat with,ham,"['friend', 'u', 'stay', 'fb', 'chat']"
"Fuck babe, I miss you sooooo much !! I wish you were here to sleep with me ... My bed is so lonely ... I go now, to sleep ... To dream of you, my love ...",ham,"['fuck', 'babe', 'miss', 'sooooo', 'much', 'wish', 'sleep', '...', 'bed', 'lone', '...', 'go', 'sleep', '...', 'dream', 'love', '...']"
"Living is very simple.. Loving is also simple.. Laughing is too simple.. Winning is tooo simple.. But, being 'SIMPLE' is very difficult.. Gud nte.:-",ham,"['live', 'simpl', '..', 'love', 'also', 'simpl', '..', 'laugh', 'simpl', '..', 'win', 'tooo', 'simpl', '..', ""'simpl"", 'difficult', '..', 'gud', 'nte']"
U have a secret admirer who is looking 2 make contact with U-find out who they R*reveal who thinks UR so special-call on 09058094599,spam,"['u', 'secret', 'admir', 'look', 'make', 'contact', 'u-find', 'r', 'reveal', 'think', 'ur', 'special-c']"
"Ah, well that confuses things, doesnÛ÷t it?",ham,"['ah', 'well', 'confu', 'thing', 'doesn\x89û÷t']"
500 free text msgs. Just text ok to 80488 and we'll credit your account,spam,"['free', 'text', 'msg', 'text', 'ok', ""'ll"", 'credit', 'account']"
Hi Dear Call me its urgnt. I don't know whats your problem. You don't want to work or if you have any other problem at least tell me. Wating for your reply.,ham,"['hi', 'dear', 'call', 'urgnt', ""n't"", 'know', 'problem', ""n't"", 'want', 'work', 'problem', 'least', 'tell', 'wate', 'repli']"
Dear how you. Are you ok?,ham,"['dear', 'ok']"
"You have been selected to stay in 1 of 250 top British hotels - FOR NOTHING! Holiday Worth å£350! To Claim, Call London 02072069400. Bx 526, SW73SS",spam,"['select', 'stay', 'top', 'british', 'hotel', 'noth', 'holiday', 'worth', 'å£350', 'claim', 'call', 'london', 'bx', 'sw73ss']"
Yes princess! I want to make you happy...,ham,"['ye', 'princess', 'want', 'make', 'happi', '...']"
Sounds like you have many talents! would you like to go on a dinner date next week?,ham,"['sound', 'like', 'mani', 'talent', 'would', 'like', 'go', 'dinner', 'date', 'next', 'week']"
I am going to film 2day da. At 6pm. Sorry da.,ham,"['go', 'film', '2day', 'da', '6pm', 'sorri', 'da']"
We not watching movie already. Xy wants 2 shop so i'm shopping w her now.,ham,"['watch', 'movi', 'alreadi', 'xy', 'want', 'shop', ""'m"", 'shop', 'w']"
Hello my little party animal! I just thought I'd buzz you as you were with your friends ...*grins*... Reminding you were loved and send a naughty adoring kiss,ham,"['hello', 'littl', 'parti', 'anim', 'thought', ""'d"", 'buzz', 'friend', '...', 'grin', '...', 'remind', 'love', 'send', 'naughti', 'ador', 'kiss']"
Yesterday its with me only . Now am going home.,ham,"['yesterday', 'go', 'home']"
"Eerie Nokia tones 4u, rply TONE TITLE to 8007 eg TONE DRACULA to 8007 Titles: GHOST, ADDAMSFA, MUNSTERS, EXORCIST, TWILIGHT www.getzed.co.uk POBox36504W45WQ 150p",spam,"['eeri', 'nokia', 'tone', '4u', 'rpli', 'tone', 'titl', 'eg', 'tone', 'dracula', 'titl', 'ghost', 'addamsfa', 'munster', 'exorcist', 'twilight', 'www.getzed.co.uk', 'pobox36504w45wq', '150p']"
"You have come into my life and brought the sun ..Shiny down on me, warming my heart. Putting a constant smile on my face ... Making me feel loved and cared for",ham,"['come', 'life', 'brought', 'sun', '..', 'shini', 'warm', 'heart', 'put', 'constant', 'smile', 'face', '...', 'make', 'feel', 'love', 'care']"
"No shit, but I wasn't that surprised, so I went and spent the evening with that french guy I met in town here and we fooled around a bit but I didn't let him fuck me",ham,"['shit', ""n't"", 'surpri', 'went', 'spent', 'even', 'french', 'guy', 'met', 'town', 'fool', 'around', 'bit', ""n't"", 'let', 'fuck']"
"0A$NETWORKS allow companies to bill for SMS, so they are responsible for their \suppliers\""",spam,"['0a', 'network', 'allow', 'compani', 'bill', 'sm', 'respon', '\\suppliers\\', ""''""]"
Great comedy..cant stop laughing da:),ham,"['great', 'comedi', '..', 'cant', 'stop', 'laugh', 'da']"
FreeMsg:Feelin kinda lnly hope u like 2 keep me company! Jst got a cam moby wanna c my pic?Txt or reply DATE to 82242 Msg150p 2rcv Hlp 08712317606 stop to 82242,spam,"['freemsg', 'feelin', 'kinda', 'lnli', 'hope', 'u', 'like', 'keep', 'compani', 'jst', 'got', 'cam', 'mobi', 'wan', 'na', 'c', 'pic', 'txt', 'repli', 'date', 'msg150p', '2rcv', 'hlp', 'stop']"
"Alright, we're all set here, text the man",ham,"['alright', ""'re"", 'set', 'text', 'man']"
"Hi , where are you? We're at  and they're not keen to go out i kind of am but feel i shouldn't so can we go out tomo, don't mind do you?",ham,"['hi', ""'re"", ""'re"", 'keen', 'go', 'kind', 'feel', ""n't"", 'go', 'tomo', ""n't"", 'mind']"
Sleeping nt feeling well,ham,"['sleep', 'nt', 'feel', 'well']"
U WILL SWITCH YOUR FONE ON DAMMIT!!,ham,"['u', 'switch', 'fone', 'dammit']"
India have to take lead:),ham,"['india', 'take', 'lead']"
I.ll post her out l8r. In class,ham,"['i.ll', 'post', 'l8r', 'class']"
Thts wat Wright Brother did to fly..,ham,"['tht', 'wat', 'wright', 'brother', 'fli', '..']"
"Evening * v good if somewhat event laden. Will fill you in, don't you worry Û_ Head * ok but throat * wrecked. See you at six then!",ham,"['even', 'v', 'good', 'somewhat', 'event', 'laden', 'fill', ""n't"", 'worri', '\x89û_', 'head', 'ok', 'throat', 'wreck', 'see', 'six']"
If u laugh really loud.. If u talk spontaneously.. If u dont care what others feel.. U are probably with your dear &amp; best friends.. GOODEVENING Dear..:),ham,"['u', 'laugh', 'realli', 'loud', '..', 'u', 'talk', 'spontan', '..', 'u', 'dont', 'care', 'feel', '..', 'u', 'probabl', 'dear', 'amp', 'best', 'friend', '..', 'goodeven', 'dear', '..']"
ITS A LAPTOP TAKE IT WITH YOU.,ham,"['laptop', 'take']"
I dont have any of your file in my bag..i was in work when you called me.i 'll tell you if i find anything in my room.,ham,"['dont', 'file', 'bag', '..', 'work', 'call', 'me.i', ""'ll"", 'tell', 'find', 'anyth', 'room']"
I wan but too early lei... Me outside now wun b home so early... Neva mind then...,ham,"['wan', 'earli', 'lei', '...', 'outsid', 'wun', 'b', 'home', 'earli', '...', 'neva', 'mind', '...']"
